timestamp,data
1724595495160766355,"array('d', [0.3498339600288248, -0.36077190179915897, 0.3441901799328377, -0.3622937206964844])"
1724595495168868058,"array('d', [0.33737967201556773, -0.34500539495211036, 0.33413333552131463, -0.3618834821030007])"
1724595495175298752,"array('d', [0.3343004619673003, -0.34808228964659216, 0.3222848282530787, -0.3522621346898962])"
1724595495184353485,"array('d', [0.33102381538712533, -0.33736093869857436, 0.31409836872698216, -0.3468513633794332])"
1724595495194173487,"array('d', [0.30372032159937074, -0.30475844204219354, 0.3058407646936524, -0.3330291222522456])"
1724595495195934027,"array('d', [0.2729593731494491, -0.3329445065957138, 0.3336170116271045, -0.3307868073541532])"
1724595495197374564,"array('d', [0.3044890190562217, -0.27343801992296474, 0.2847249486548156, -0.2639267570580347])"
1724595495203288377,"array('d', [0.2625044983734942, -0.2701878946679714, 0.2760219547478011, -0.26677316880748586])"
1724595495210583092,"array('d', [0.2368503784279861, -0.24583079381586845, 0.20835595084755276, -0.23892661931363177])"
1724595495212254464,"array('d', [0.2058202174788004, -0.2195296377306123, 0.21935114500240593, -0.22881210154417406])"
1724595495213906669,"array('d', [0.19018947455827667, -0.1995087735457018, 0.18899243665107202, -0.19542575238798135])"
1724595495215498666,"array('d', [0.16140899554195604, 0.0, 0.1571622157255746, -0.1740584047333349])"
1724595495220309603,"array('d', [0.13150136020541717, -0.14398216954385581, 0.14612976542344244, -0.1536660315091741])"
1724595495223989643,"array('d', [0.0952044008538972, -0.08840778505934144, 0.1048257482670017, -0.12090377544158028])"
1724595495231724935,"array('d', [0.06078961364344001, -0.08231124805489692, 0.07396713398466528, -0.07896787718835237])"
1724595495240481071,"array('d', [-0.018220781859886032, -0.030354498617178125, 0.0, 0.0])"
1724595495247922974,"array('d', [-0.06357119548689169, 0.026928616961179683, -0.02512895560957077, 0.0])"
1724595495256361607,"array('d', [-0.09713014374347263, 0.01924816748061154, -0.06229438311743442, 0.010879005492152828])"
1724595495264692479,"array('d', [-0.07309129879354893, 0.028997490812052665, -0.04435691636623442, 0.0])"
1724595495271278800,"array('d', [-0.058592132414107025, 0.021921980129674466, -0.03531398642613827, 0.012199388610122736])"
1724595495280380669,"array('d', [-0.07582678404799449, 0.053056121512508665, -0.060091008260283296, 0.06117859307943689])"
1724595495288169086,"array('d', [-0.09961514981564747, 0.09576513744345112, -0.08428056169298499, 0.07186142495992895])"
1724595495295975681,"array('d', [-0.11571885636857648, 0.11566370885113537, -0.10106519274561633, 0.06812402297640055])"
1724595495303738369,"array('d', [-0.12675572689157222, 0.14096421112755542, -0.10378257614319189, 0.07449756048829738])"
1724595495311709341,"array('d', [-0.1448855784936927, 0.1545408142667515, -0.11344475797760774, 0.101201167158849])"
1724595495320364226,"array('d', [-0.16220484578411198, 0.17812248208735418, -0.11721078615339567, 0.11899550294875146])"
1724595495353694482,"array('d', [-0.17797871966593326, 0.21385281122150207, -0.1407507776058558, 0.15168977180972895])"
1724595495362146344,"array('d', [-0.1977326867053654, 0.23800047779935346, -0.15900229052507928, 0.17556170080037475])"
1724595495377943390,"array('d', [-0.20884806877036696, 0.24538245712827467, -0.15873686678655544, 0.19183421769295175])"
1724595495403882212,"array('d', [-0.21138506505936605, 0.25624841244454444, -0.16654655510570696, 0.20845066986605848])"
1724595495409710869,"array('d', [-0.20448973099885653, 0.26120095419214756, -0.16475278738191615, 0.21837385521813457])"
1724595495417433608,"array('d', [-0.2070077834841545, 0.2571469802001022, -0.1623707093098509, 0.2147429595087482])"
1724595495424820772,"array('d', [-0.20178160901642378, 0.24853765287805452, -0.16003072857934372, 0.2183887997743877])"
1724595495431243133,"array('d', [-0.19153911532862947, 0.2407473293360197, -0.16351975624767934, 0.2200615376411989])"
1724595495458207226,"array('d', [-0.17762889075758542, 0.2140544574875654, -0.1663834279071693, 0.2008752532526778])"
1724595495496871550,"array('d', [-0.14607945910028053, 0.1935890453758013, -0.18116443598834273, 0.21286794391575023])"
1724595495502043012,"array('d', [-0.14984317192228275, 0.19689452863494356, -0.17860975881588922, 0.20323754557421075])"
1724595495505981805,"array('d', [-0.15254224297628055, 0.1815727802014563, -0.19129979194187166, 0.19643756199233037])"
1724595495508088078,"array('d', [-0.15769622050323912, 0.1820526898952187, -0.18938920409525714, 0.19488837982299215])"
1724595495511974161,"array('d', [-0.1599560057980781, 0.17643206333708855, -0.18663666941748056, 0.20162227057862636])"
1724595495519884924,"array('d', [-0.15550084414098403, 0.16992844503977717, -0.17992782658007342, 0.19166793319379727])"
1724595495528085950,"array('d', [-0.14695129504394885, 0.16662190934709595, -0.17413039118739923, 0.19454633892283257])"
1724595495537143756,"array('d', [-0.14457363719274718, 0.15133510170710193, -0.16573786517437578, 0.17965145753274447])"
1724595495546460315,"array('d', [-0.13532443027901633, 0.14000670709381635, -0.16348628886114064, 0.16391589223174108])"
1724595495548608099,"array('d', [-0.13796877478898859, 0.12857285863992773, -0.13202547210781557, 0.16550064665469588])"
1724595495552788561,"array('d', [-0.1256832971153795, 0.12498195540502151, -0.1498332790470166, 0.14624090240515586])"
1724595495562149079,"array('d', [-0.10448728564087455, 0.1033049818032152, -0.13439807827803027, 0.1298117834019827])"
1724595495563609667,"array('d', [0.0, 0.0, -0.11439110621583391, 0.14365191589933252])"
1724595495568807744,"array('d', [-0.08656139565860302, 0.07257792171324787, -0.10924533767047914, 0.12273269444557205])"
1724595495576393972,"array('d', [-0.07946757263264705, 0.03892720125207026, -0.08289050747473642, 0.10157351814493043])"
1724595495584759948,"array('d', [-0.06782597379816918, 0.02458737331042577, -0.07452871252105038, 0.08015839000761552])"
1724595495593758327,"array('d', [-0.05641738374921542, 0.0, -0.05253979761829852, 0.05179635856638242])"
1724595495595367250,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495602596755,"array('d', [-0.02821237539199404, 0.0, -0.024691774717489866, 0.022868328367900627])"
